ticker,as_of_date,maturity_years,Distance_to_Default,PD_physical,PD_risk_neutral,model
AAPL,2025-12-31,1.0,11.659636111771738,1.0245813081461727e-31,3.0028197756889e-31,Black-Scholes
AAPL,2025-12-31,3.0,6.784294044264921,5.832775995815794e-12,1.7351446273658635e-11,Black-Scholes
AAPL,2025-12-31,5.0,5.295835351918291,5.923677597636221e-08,1.7874112189073666e-07,Black-Scholes
JPM,2025-12-31,1.0,5.172108961956091,1.157332673525625e-07,2.3415093269522136e-05,Black-Scholes
JPM,2025-12-31,3.0,4.284356450003496,9.163444528027505e-06,0.008726549109324038,Black-Scholes
JPM,2025-12-31,5.0,4.324259026838007,7.652269493024683e-06,0.03130863254047166,Black-Scholes
XOM,2025-12-31,1.0,11.307813548349396,6.00218368586317e-30,1.907883439471281e-27,Black-Scholes
XOM,2025-12-31,3.0,7.170147166782609,3.7458593990116724e-13,1.7573156565983959e-10,Black-Scholes
XOM,2025-12-31,5.0,6.050936272521664,7.200320546884975e-10,4.933859601211124e-07,Black-Scholes
T,2025-12-31,1.0,3.8600135466880037,5.669036967590011e-05,0.00027629024567516565,Black-Scholes
T,2025-12-31,3.0,2.7601628462179293,0.0028886277882886327,0.019856526055199254,Black-Scholes
T,2025-12-31,5.0,2.549775357596115,0.0053896175267458876,0.05033272163004983,Black-Scholes
F,2025-12-31,1.0,1.702592920076785,0.044322137968025234,0.21744842130700526,Black-Scholes
F,2025-12-31,3.0,1.9861142783052654,0.02351031810034331,0.3484196194359996,Black-Scholes
F,2025-12-31,5.0,2.31545230795611,0.010294095855208253,0.3996128904307819,Black-Scholes
UAL,2025-12-31,1.0,1.3130462708276165,0.094583678495962,0.12054859796220735,Black-Scholes
UAL,2025-12-31,3.0,0.6746462921208701,0.24995025726997483,0.33331495149906537,Black-Scholes
UAL,2025-12-31,5.0,0.4579453977512557,0.32349583509368685,0.44310062733264677,Black-Scholes
AMZN,2025-12-31,1.0,8.247445080355828,8.090841218312495e-17,7.054534596310021e-17,Black-Scholes
AMZN,2025-12-31,3.0,4.669619725532488,1.5087889746717635e-06,1.313793023259403e-06,Black-Scholes
AMZN,2025-12-31,5.0,3.5457742039692195,0.00019573073893995753,0.00017024184138278222,Black-Scholes
KO,2025-12-31,1.0,12.377592889261944,1.7277587782770368e-35,2.669551619718692e-32,Black-Scholes
KO,2025-12-31,3.0,7.986307149682394,6.952050160343801e-16,1.9580726854785413e-12,Black-Scholes
KO,2025-12-31,5.0,6.836906015725306,4.046089535195004e-12,2.0515571862043515e-08,Black-Scholes
AAPL,2025-12-31,1.0,7.329620857764169,1.154023778358342e-13,9.426301960658407e-14,Merton Jump
AAPL,2025-12-31,3.0,4.879000643903254,5.331235804021925e-07,6.09205308502679e-07,Merton Jump
AAPL,2025-12-31,5.0,3.8663564922017115,5.523671028775831e-05,7.08750269724739e-05,Merton Jump
JPM,2025-12-31,1.0,3.2015427190309085,0.0006834690247479301,0.0042298237975681155,Merton Jump
JPM,2025-12-31,3.0,2.7436011498404422,0.003038466158230631,0.05742650266998626,Merton Jump
JPM,2025-12-31,5.0,2.7595795827959395,0.002893789436365842,0.11465262524565782,Merton Jump
XOM,2025-12-31,1.0,5.96938352142975,1.1907585360138514e-09,2.8694788173975116e-09,Merton Jump
XOM,2025-12-31,3.0,4.334405554946427,7.307725879651431e-06,4.473685490944457e-05,Merton Jump
XOM,2025-12-31,5.0,3.727075980892335,9.6857037331442e-05,0.000897488274775657,Merton Jump
T,2025-12-31,1.0,2.2991669143068467,0.0107477314921051,0.01672272665330818,Merton Jump
T,2025-12-31,3.0,1.6435422948080218,0.05013539100486175,0.10136309327725196,Merton Jump
T,2025-12-31,5.0,1.475279885128813,0.07006865600016877,0.16397997771496306,Merton Jump
F,2025-12-31,1.0,1.2761140017468573,0.100957611356569,0.27537864462463485,Merton Jump
F,2025-12-31,3.0,1.4451094328816632,0.0742135749126903,0.403878749059587,Merton Jump
F,2025-12-31,5.0,1.6666379328817866,0.0477932106959647,0.45657080013773493,Merton Jump
UAL,2025-12-31,1.0,1.1485045615886467,0.1253801654926729,0.14842037521025553,Merton Jump
UAL,2025-12-31,3.0,0.5333882705130085,0.29688241765746415,0.3655553432339511,Merton Jump
UAL,2025-12-31,5.0,0.31068966300821566,0.3780182781767396,0.4745132758478664,Merton Jump
AMZN,2025-12-31,1.0,5.690811370831409,6.321856114743888e-09,4.11737599594489e-09,Merton Jump
AMZN,2025-12-31,3.0,3.505167290780036,0.0002281602263332567,0.00016181805872141978,Merton Jump
AMZN,2025-12-31,5.0,2.6502018031819294,0.004022185256780717,0.0029328631466019666,Merton Jump
KO,2025-12-31,1.0,5.281534364132038,6.405322378823109e-08,1.2904042332057065e-07,Merton Jump
KO,2025-12-31,3.0,3.9235309792745836,4.3630269348556765e-05,0.00019691035608341708,Merton Jump
KO,2025-12-31,5.0,3.428772751428845,0.00030315848354035634,0.0020406651949433675,Merton Jump
AAPL,2025-12-31,1.0,5.96931688343091,1.1912449360274024e-09,1.1818465650570431e-09,Kou
AAPL,2025-12-31,3.0,5.964121316880137,1.2297697860041978e-09,1.2556906070493312e-09,Kou
AAPL,2025-12-31,5.0,5.109746657931233,1.6129554258892398e-07,4.4999500981024454e-07,Kou
JPM,2025-12-31,1.0,4.836650136297772,6.602277232703457e-07,6.496313629328343e-05,Kou
