ticker,as_of_date,maturity_years,asset_value_proxy,debt_face_value,mu_physical,sigma_asset_proxy,risk_free_rate,Distance_to_Default,PD_physical,PD_risk_neutral,PD_Kou_physical,PD_Kou_risk_neutral,Kou_lambda,Kou_eta,Kou_kappa,Kou_lambda_dt
AAPL,2025-12-31,1.0,4114915247194.824,98657000000.0,0.06622506994410637,0.3212241526449775,0.036699999999999997,11.659636705193872,1.0245741675984101e-31,3.0027861930990455e-31,0.000688234711024816,0.000930047894440108,0.05,0.12,0.0,0.05
AAPL,2025-12-31,3.0,4114915247194.824,98657000000.0,0.06622506994410637,0.3212241526449775,0.036699999999999997,6.784293989513681,5.832778207611407e-12,1.735137817553645e-11,0.018035981553277895,0.026287809301815766,0.05,0.12,0.0,0.15000000000000002
AAPL,2025-12-31,5.0,4114915247194.824,98657000000.0,0.06622506994410637,0.3212241526449775,0.036699999999999997,5.295835001711587,5.923688951696187e-08,1.7874067987705296e-07,0.035363106940337063,0.054434664856431655,0.05,0.12,0.0,0.25
JPM,2025-12-31,1.0,1368774952730.0684,499982000000.0,0.31068048379283963,0.24880148082793274,0.036699999999999997,5.172110378962101,1.1573238946872309e-07,2.3415000761981222e-05,0.00014902347821469424,0.004013692870209712,0.05,0.12,0.0,0.05
JPM,2025-12-31,3.0,1368774952730.0684,499982000000.0,0.31068048379283963,0.24880148082793274,0.036699999999999997,4.284357908626701,9.163384416190007e-06,0.008726534957575907,0.00018551956118444568,0.04372065188072816,0.05,0.12,0.0,0.15000000000000002
JPM,2025-12-31,5.0,1368774952730.0684,499982000000.0,0.31068048379283963,0.24880148082793274,0.036699999999999997,4.324260652823009,7.652213058888282e-06,0.03130859622663057,5.629023152691763e-05,0.07290116361640586,0.05,0.12,0.0,0.25
XOM,2025-12-31,1.0,546437844696.0449,43537000000.0,0.15840777620010205,0.23528312371426197,0.036699999999999997,11.30781535250312,6.002060293149276e-30,1.9078476623370313e-27,2.3452108404233606e-05,8.107757326945111e-05,0.05,0.12,0.0,0.05
XOM,2025-12-31,3.0,546437844696.0449,43537000000.0,0.15840777620010205,0.23528312371426197,0.036699999999999997,7.170148351151159,3.7458269922207934e-13,1.7573038628654053e-10,0.0004047947401827458,0.006387923842922642,0.05,0.12,0.0,0.15000000000000002
XOM,2025-12-31,5.0,546437844696.0449,43537000000.0,0.15840777620010205,0.23528312371426197,0.036699999999999997,6.050937300495456,7.200274595496195e-10,4.93383834942826e-07,0.0006884877602218639,0.019215581051431303,0.05,0.12,0.0,0.25
T,2025-12-31,1.0,329854559596.8776,155043000000.0,0.12688858697812483,0.22206676417300075,0.036699999999999997,3.8600152405139814,5.668997671648871e-05,0.0002762890532876757,0.0020268301619521503,0.006209967538722988,0.05,0.12,0.0,0.05
T,2025-12-31,3.0,329854559596.8776,155043000000.0,0.12688858697812483,0.22206676417300075,0.036699999999999997,2.7601645370536914,0.002888612837143658,0.019856488855643457,0.009936440255377352,0.050361375468782214,0.05,0.12,0.0,0.15000000000000002
T,2025-12-31,5.0,329854559596.8776,155043000000.0,0.12688858697812483,0.22206676417300075,0.036699999999999997,2.5497772195256068,0.005389588744737127,0.05033265143537979,0.010489009414416738,0.07819885120515668,0.05,0.12,0.0,0.25
F,2025-12-31,1.0,218071618627.67316,165738000000.0,0.3400386102890268,0.3290888892659743,0.036699999999999997,1.7025921762836775,0.04432220761321879,0.2174484904136062,0.03994181659649072,0.20147676328341568,0.05,0.12,0.0,0.05
F,2025-12-31,3.0,218071618627.67316,165738000000.0,0.3400386102890268,0.3290888892659743,0.036699999999999997,1.9861131938515015,0.023510378294138455,0.3484196945547003,0.014071088982151004,0.27076334122043966,0.05,0.12,0.0,0.15000000000000002
F,2025-12-31,5.0,218071618627.67316,165738000000.0,0.3400386102890268,0.3290888892659743,0.036699999999999997,2.3154509605619538,0.010294132685884179,0.3996129713967711,0.00442513327966163,0.2836906384457186,0.05,0.12,0.0,0.25
UAL,2025-12-31,1.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,1.3130462708276165,0.094583678495962,0.12054859796220735,0.12118803571365068,0.1518341914634274,0.05,0.12,0.0,0.05
UAL,2025-12-31,3.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,0.6746462921208701,0.24995025726997483,0.33331495149906537,0.18063947558170998,0.25155133574881083,0.05,0.12,0.0,0.15000000000000002
UAL,2025-12-31,5.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,0.4579453977512557,0.32349583509368685,0.44310062733264677,0.18632952215970874,0.28183830097148926,0.05,0.12,0.0,0.25
AMZN,2025-12-31,1.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,8.247445080355828,8.090841218312495e-17,7.054534596310021e-17,0.002384344098485864,0.0022681790868638867,0.05,0.12,0.0,0.05
AMZN,2025-12-31,3.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,4.669619725532488,1.5087889746717635e-06,1.313793023259403e-06,0.041014124321269524,0.038598931746777095,0.05,0.12,0.0,0.15000000000000002
AMZN,2025-12-31,5.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,3.5457742039692195,0.00019573073893995753,0.00017024184138278222,0.0766244515362718,0.0715268211107248,0.05,0.12,0.0,0.25
KO,2025-12-31,1.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,12.377592889261944,1.7277587782770368e-35,2.669551619718692e-32,1.5793191767072334e-05,3.804357864910822e-05,0.05,0.12,0.0,0.05
KO,2025-12-31,3.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,7.986307149682394,6.952050160343801e-16,1.9580726854785413e-12,4.3728317874429394e-05,0.000953714801843183,0.05,0.12,0.0,0.15000000000000002
KO,2025-12-31,5.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,6.836906015725306,4.046089535195004e-12,2.0515571862043515e-08,6.0851670715912034e-05,0.004351591783225456,0.05,0.12,0.0,0.25
