ticker,as_of_date,maturity_years,asset_value_proxy,debt_face_value,mu_physical,sigma_asset_proxy,risk_free_rate,Distance_to_Default,PD_physical,PD_risk_neutral
AAPL,2025-12-31,1.0,4114915247194.824,98657000000.0,0.06622518999687521,0.32122417857586094,0.036699999999999997,11.659636111771738,1.0245813081461727e-31,3.0028197756889e-31
AAPL,2025-12-31,3.0,4114915247194.824,98657000000.0,0.06622518999687521,0.32122417857586094,0.036699999999999997,6.784294044264921,5.832775995815794e-12,1.7351446273658635e-11
AAPL,2025-12-31,5.0,4114915247194.824,98657000000.0,0.06622518999687521,0.32122417857586094,0.036699999999999997,5.295835351918291,5.923677597636221e-08,1.7874112189073666e-07
JPM,2025-12-31,1.0,1368774952730.0684,499982000000.0,0.3106804185600559,0.24880153383017498,0.036699999999999997,5.172108961956091,1.157332673525625e-07,2.3415093269522136e-05
JPM,2025-12-31,3.0,1368774952730.0684,499982000000.0,0.3106804185600559,0.24880153383017498,0.036699999999999997,4.284356450003496,9.163444528027505e-06,0.008726549109324038
JPM,2025-12-31,5.0,1368774952730.0684,499982000000.0,0.3106804185600559,0.24880153383017498,0.036699999999999997,4.324259026838007,7.652269493024683e-06,0.03130863254047166
XOM,2025-12-31,1.0,546437844696.0449,43537000000.0,0.15840777620010238,0.2352831604883561,0.036699999999999997,11.307813548349396,6.00218368586317e-30,1.907883439471281e-27
XOM,2025-12-31,3.0,546437844696.0449,43537000000.0,0.15840777620010238,0.2352831604883561,0.036699999999999997,7.170147166782609,3.7458593990116724e-13,1.7573156565983959e-10
XOM,2025-12-31,5.0,546437844696.0449,43537000000.0,0.15840777620010238,0.2352831604883561,0.036699999999999997,6.050936272521664,7.200320546884975e-10,4.933859601211124e-07
T,2025-12-31,1.0,329854559596.8776,155043000000.0,0.1268884978593377,0.22206683448608688,0.036699999999999997,3.8600135466880037,5.669036967590011e-05,0.00027629024567516565
T,2025-12-31,3.0,329854559596.8776,155043000000.0,0.1268884978593377,0.22206683448608688,0.036699999999999997,2.7601628462179293,0.0028886277882886327,0.019856526055199254
T,2025-12-31,5.0,329854559596.8776,155043000000.0,0.1268884978593377,0.22206683448608688,0.036699999999999997,2.549775357596115,0.0053896175267458876,0.05033272163004983
F,2025-12-31,1.0,218071618627.67316,165738000000.0,0.34003871352271464,0.3290888195993752,0.036699999999999997,1.702592920076785,0.044322137968025234,0.21744842130700526
F,2025-12-31,3.0,218071618627.67316,165738000000.0,0.34003871352271464,0.3290888195993752,0.036699999999999997,1.9861142783052654,0.02351031810034331,0.3484196194359996
F,2025-12-31,5.0,218071618627.67316,165738000000.0,0.34003871352271464,0.3290888195993752,0.036699999999999997,2.31545230795611,0.010294095855208253,0.3996128904307819
UAL,2025-12-31,1.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,1.3130462708276165,0.094583678495962,0.12054859796220735
UAL,2025-12-31,3.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,0.6746462921208701,0.24995025726997483,0.33331495149906537
UAL,2025-12-31,5.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,0.4579453977512557,0.32349583509368685,0.44310062733264677
AMZN,2025-12-31,1.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,8.247445080355828,8.090841218312495e-17,7.054534596310021e-17
AMZN,2025-12-31,3.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,4.669619725532488,1.5087889746717635e-06,1.313793023259403e-06
AMZN,2025-12-31,5.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,3.5457742039692195,0.00019573073893995753,0.00017024184138278222
KO,2025-12-31,1.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,12.377592889261944,1.7277587782770368e-35,2.669551619718692e-32
KO,2025-12-31,3.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,7.986307149682394,6.952050160343801e-16,1.9580726854785413e-12
KO,2025-12-31,5.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,6.836906015725306,4.046089535195004e-12,2.0515571862043515e-08
