ticker,maturity_years,Delta_PD_P_Heston,Delta_PD_P_Merton,Delta_PD_P_Kou,Delta_PD_Q_Heston,Delta_PD_Q_Merton,Delta_PD_Q_Kou,PD_P_BSM,PD_Q_BSM
AAPL,1.0,1.2490996015301903e-09,1.1540223005704205e-13,1.191810372613844e-09,1.2532693216549262e-09,9.426282872167145e-14,1.1824109469316113e-09,1.024564688533875e-31,3.002765328050176e-31
AAPL,3.0,3.081111642184299e-06,5.331174113947835e-07,1.2063361705351204e-09,4.388075945278627e-06,6.091868860074364e-07,1.1887151885629032e-09,5.8327502593337795e-12,1.7351335865547487e-11
AAPL,5.0,4.7718214090326406e-05,5.517746625715557e-05,3.164581418681082e-08,7.645150216995455e-05,7.069618994440034e-05,8.478653513099702e-08,5.9236656251391927e-08,1.787404052495681e-07
BBBY,1.0,0.004038417606766294,0.0018172485615986483,6.076168233357278e-05,0.004908201822382954,0.0020576021653113986,8.161448114325787e-05,0.004581453615825652,0.00668320032387569
BBBY,3.0,0.011018911924679742,0.018912616660879816,0.0007310110426950178,0.008172358066990515,0.015957547173971603,0.0008454927356233988,0.129225616686987,0.1837081615609955
BBBY,5.0,0.003713939902063035,0.028662594351818393,0.0011398405094044106,-0.00289733620549687,0.019148414963852667,0.0011566247340956681,0.2791798879559819,0.38591465373837613
GME,1.0,0.0004019357661623757,0.033150480644423164,0.001404789917844984,0.012775955513655013,0.018339333079269285,0.0007743174736185576,0.20320541503652184,0.04361206223773739
GME,3.0,-0.014516253794563894,0.0046923518710701995,0.000192646585577938,0.0014046047760405966,0.03420731165978935,0.0018701226834470508,0.7874014980498276,0.23368455403389005
GME,5.0,-0.001358312894989333,-0.002432630032145333,-0.00012218929866969486,-0.006689899167336866,0.03562577036095099,0.0021713353010454073,0.9459369756258615,0.3590253036912505
ORCL,1.0,0.002843746377184443,0.001943218668242986,4.6989319750957584e-05,0.003988241548423199,0.0026775669420986237,7.952590880616573e-05,0.0010104356408939684,0.0019288346513057224
ORCL,3.0,0.013835208064959498,0.02373143504855703,0.000845529950197238,0.013790158433205968,0.026767660861773096,0.0012578212361047947,0.04062705192299945,0.0805705973032333
ORCL,5.0,0.013560674376816073,0.040229687143151616,0.0015237699350639233,0.007277271374248551,0.038130070750111156,0.0020434965827380025,0.09336159726270327,0.18982490776295696
